,Temperature,DewPoint,Pressure,Date
124,73.4,62.4,1.0,20100505
125,73.6,62.8,1.0,20100506
126,73.8,62.9,1.0,20100507
127,73.9,63.1,1.0,20100508
128,74.1,63.4,1.0,20100509
129,74.3,63.6,1.0,20100510
130,74.5,63.7,1.0,20100511
131,74.6,63.8,1.0,20100512
132,74.8,63.9,1.0,20100513
133,74.8,64.0,1.0,20100514
134,75.0,64.1,1.0,20100515
135,75.2,64.4,1.0,20100516
136,75.4,64.6,1.0,20100517
137,75.7,64.8,1.0,20100518
138,75.9,65.1,1.0,20100519
139,76.1,65.3,1.0,20100520
140,76.2,65.4,1.0,20100521
141,76.4,65.5,1.0,20100522
142,76.6,65.6,1.0,20100523
143,76.8,65.7,1.0,20100524
144,77.1,65.9,1.0,20100525
145,77.4,66.3,1.0,20100526
146,77.8,66.8,1.0,20100527
147,78.1,67.1,1.0,20100528
148,78.4,67.4,1.0,20100529
149,78.6,67.6,1.0,20100530
150,78.7,67.8,1.0,20100531
151,78.8,68.0,1.0,20100601
152,79.0,68.2,1.0,20100602
153,79.2,68.4,1.0,20100603
154,79.3,68.5,1.0,20100604
155,79.6,68.7,1.0,20100605
156,79.8,68.9,1.0,20100606
157,80.0,69.1,1.0,20100607
158,80.2,69.2,1.0,20100608
159,80.4,69.3,1.0,20100609
160,80.5,69.4,1.0,20100610
161,80.6,69.4,1.0,20100611
162,80.8,69.5,1.0,20100612
163,80.9,69.5,1.0,20100613
164,81.1,69.6,1.0,20100614
165,81.2,69.6,1.0,20100615
166,81.3,69.6,1.0,20100616
167,81.4,69.6,1.0,20100617
168,81.5,69.6,1.0,20100618
169,81.6,69.5,1.0,20100619
170,81.7,69.5,1.0,20100620
171,81.8,69.5,1.0,20100621
172,81.8,69.5,1.0,20100622
173,81.8,69.6,1.0,20100623
174,81.9,69.8,1.0,20100624
175,82.0,69.9,1.0,20100625
176,82.1,70.0,1.0,20100626
177,82.1,70.0,1.0,20100627
178,82.1,70.1,1.0,20100628
179,82.2,70.2,1.0,20100629
180,82.2,70.2,1.0,20100630
181,82.3,70.3,1.0,20100701
182,82.3,70.4,1.0,20100702
183,82.4,70.4,1.0,20100703
184,82.5,70.4,1.0,20100704
185,82.6,70.5,1.0,20100705
186,82.7,70.5,1.0,20100706
187,82.9,70.5,1.0,20100707
188,82.9,70.5,1.0,20100708
189,83.0,70.4,1.0,20100709
190,83.1,70.3,1.0,20100710
191,83.2,70.2,1.0,20100711
192,83.3,70.2,1.0,20100712
193,83.3,70.1,1.0,20100713
194,83.3,70.0,1.0,20100714
195,83.4,69.9,1.0,20100715
196,83.5,69.9,1.0,20100716
197,83.5,69.9,1.0,20100717
198,83.5,69.8,1.0,20100718
199,83.5,69.8,1.0,20100719
200,83.5,69.8,1.0,20100720
201,83.5,69.8,1.0,20100721
202,83.6,69.9,1.0,20100722
203,83.7,69.9,1.0,20100723
204,83.8,69.9,1.0,20100724
205,83.8,69.8,1.0,20100725
206,83.9,69.8,1.0,20100726
207,84.0,69.8,1.0,20100727
208,84.1,69.8,1.0,20100728
209,84.2,69.9,1.0,20100729
210,84.2,69.9,1.0,20100730
211,84.3,69.9,1.0,20100731
212,84.4,69.9,1.0,20100801
213,84.4,69.8,1.0,20100802
214,84.4,69.8,1.0,20100803
215,84.5,69.8,1.0,20100804
216,84.4,69.8,1.0,20100805
217,84.4,69.7,1.0,20100806
218,84.4,69.8,1.0,20100807
219,84.4,69.8,1.0,20100808
220,84.3,69.8,1.0,20100809
221,84.3,69.8,1.0,20100810
222,84.3,69.8,1.0,20100811
223,84.3,69.8,1.0,20100812
224,84.3,69.8,1.0,20100813
225,84.3,69.8,1.0,20100814
226,84.2,69.8,1.0,20100815
227,84.2,69.9,1.0,20100816
228,84.2,69.9,1.0,20100817
229,84.2,69.9,1.0,20100818
230,84.3,69.9,1.0,20100819
231,84.3,69.8,1.0,20100820
232,84.2,69.8,1.0,20100821
233,84.1,69.7,1.0,20100822
234,84.0,69.6,1.0,20100823
235,83.9,69.5,1.0,20100824
236,83.7,69.5,1.0,20100825
237,83.6,69.4,1.0,20100826
238,83.4,69.4,1.0,20100827
239,83.2,69.2,1.0,20100828
240,83.0,69.1,1.0,20100829
241,82.9,68.9,1.0,20100830
242,82.7,68.7,1.0,20100831
243,82.4,68.6,1.0,20100901
244,82.2,68.4,1.0,20100902
245,81.9,68.4,1.0,20100903
246,81.6,68.4,1.0,20100904
247,81.4,68.4,1.0,20100905
248,81.2,68.5,1.0,20100906
249,81.0,68.5,1.0,20100907
250,80.8,68.5,1.0,20100908
251,80.5,68.3,1.0,20100909
252,80.2,68.1,1.0,20100910
253,80.0,67.9,1.0,20100911
254,79.7,67.7,1.0,20100912
255,79.4,67.5,1.0,20100913
256,79.1,67.3,1.0,20100914
257,78.8,67.0,1.0,20100915
258,78.4,66.6,1.0,20100916
259,78.1,66.1,1.0,20100917
260,77.7,65.5,1.0,20100918
261,77.4,64.9,1.0,20100919
262,77.1,64.4,1.0,20100920
263,76.7,63.7,1.0,20100921
264,76.4,63.0,1.0,20100922
265,75.9,62.4,1.0,20100923
266,75.6,61.9,1.0,20100924
267,75.4,61.6,1.0,20100925
268,75.2,61.3,1.0,20100926
269,75.1,61.2,1.0,20100927
270,75.0,61.0,1.0,20100928
271,74.7,60.7,1.0,20100929
272,74.3,60.4,1.0,20100930
273,74.0,60.2,1.0,20101001
274,73.6,60.1,1.0,20101002
275,73.3,60.0,1.0,20101003
276,73.0,59.9,1.0,20101004
277,72.7,59.7,1.0,20101005
278,72.3,59.6,1.0,20101006
279,72.1,59.5,1.0,20101007
280,72.0,59.6,1.0,20101008
281,71.8,59.6,1.0,20101009
282,71.5,59.6,1.0,20101010
283,71.1,59.4,1.0,20101011
284,70.6,59.0,1.0,20101012
285,70.1,58.6,1.0,20101013
286,69.8,58.3,1.0,20101014
287,69.5,58.2,1.0,20101015
288,69.2,57.9,1.0,20101016
289,68.9,57.5,1.0,20101017
290,68.7,57.3,1.0,20101018
291,68.5,57.1,1.0,20101019
292,68.2,56.7,1.0,20101020
293,67.9,56.4,1.0,20101021
294,67.6,56.2,1.0,20101022
295,67.2,56.0,1.0,20101023
296,66.9,55.9,1.0,20101024
297,66.6,55.5,1.0,20101025
298,66.1,55.0,1.0,20101026
299,65.6,54.6,1.0,20101027
300,65.2,54.2,1.0,20101028
301,64.8,53.8,1.0,20101029
302,64.5,53.2,1.0,20101030
303,64.2,53.0,1.0,20101031
304,63.9,53.0,1.0,20101101
305,63.7,52.9,1.0,20101102
306,63.5,52.6,1.0,20101103
307,63.2,52.4,1.0,20101104
308,62.9,52.2,1.0,20101105
309,62.5,51.8,1.0,20101106
310,62.4,51.5,1.0,20101107
311,62.1,51.1,1.0,20101108
312,61.7,50.6,1.0,20101109
313,61.4,50.3,1.0,20101110
314,61.5,50.4,1.0,20101111
315,61.4,50.3,1.0,20101112
316,61.1,50.0,1.0,20101113
317,60.9,49.8,1.0,20101114
318,60.8,49.8,1.0,20101115
319,60.7,49.5,1.0,20101116
320,60.2,48.8,1.0,20101117
321,59.8,48.5,1.0,20101118
322,59.7,48.5,1.0,20101119
323,59.3,48.0,1.0,20101120
324,58.9,47.5,1.0,20101121
325,58.5,46.8,1.0,20101122
326,57.9,46.2,1.0,20101123
327,57.6,45.8,1.0,20101124
328,57.4,45.6,1.0,20101125
329,56.9,45.0,1.0,20101126
330,56.4,44.3,1.0,20101127
331,56.1,43.9,1.0,20101128
332,55.8,43.6,1.0,20101129
333,55.4,43.1,1.0,20101130
334,55.0,43.0,1.0,20101201
335,54.9,42.8,1.0,20101202
336,54.5,42.5,1.0,20101203
337,54.2,42.0,1.0,20101204
338,53.8,41.8,1.0,20101205
339,53.6,41.6,1.0,20101206
340,53.3,41.4,1.0,20101207
341,53.0,41.3,1.0,20101208
342,52.8,41.1,1.0,20101209
343,52.4,40.8,1.0,20101210
344,52.1,40.7,1.0,20101211
345,52.0,40.7,1.0,20101212
346,51.9,41.0,1.0,20101213
347,51.8,41.0,1.0,20101214
348,51.4,40.6,1.0,20101215
349,50.9,40.0,1.0,20101216
350,50.4,39.3,1.0,20101217
351,49.9,38.6,1.0,20101218
352,49.5,38.2,1.0,20101219
353,49.4,38.2,1.0,20101220
354,49.4,38.2,1.0,20101221
355,49.2,38.0,1.0,20101222
356,49.2,38.0,1.0,20101223
357,49.3,38.2,1.0,20101224
358,49.3,38.1,1.0,20101225
359,49.2,38.0,1.0,20101226
360,49.2,37.8,1.0,20101227
361,49.0,37.3,1.0,20101228
362,48.8,37.0,1.0,20101229
363,49.0,37.3,1.0,20101230
364,49.2,37.4,1.0,20101231
